to_station_id,to_station_name,,,,,"=RIGHT(A2,FIND(""-"",A2)-2)","=LEFT(A1,FIND(""-"",A1)-1)","=IF(COUNTIF(B1,""occidental""),""Yes"",""No"")"
BT-05,2nd Ave & Blanchard St,,,,,,,
BT-05,2nd Ave & Blanchard St,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
SLU-15,Westlake Ave & 6th Ave,,,,,,,
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,,,,,,,
CBD-06,2nd Ave & Spring St,,,,,,,
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
CH-08,Cal Anderson Park / 11th Ave & Pine St,,,,,,,
SLU-04,Republican St & Westlake Ave N,,,,,,,
CH-03,Summit Ave E & E Republican St,,,,,,,
CH-15,12th Ave & E Mercer St,,,,,,,
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,,,,,,,
SLU-04,Republican St & Westlake Ave N,,,,,,,
SLU-04,Republican St & Westlake Ave N,,,,,,,
CH-01,Summit Ave & E Denny Way,,,,,,,
CH-09,Harvard Ave & E Pine St,,,,,,,
CH-08,Cal Anderson Park / 11th Ave & Pine St,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
ID-04,6th Ave S & S King St,,,,,,,
SLU-02,Dexter Ave N & Aloha St,,,,,,,
BT-01,3rd Ave & Broad St,,,,,,,
BT-05,2nd Ave & Blanchard St,,,,,,,
CH-08,Cal Anderson Park / 11th Ave & Pine St,,,,,,,
CH-07,E Pine St & 16th Ave,,,,,,,
CBD-05,1st Ave & Marion St,,,,,,,
CH-12,Bellevue Ave & E Pine St,,,,,,,
CH-09,Harvard Ave & E Pine St,,,,,,,
BT-01,3rd Ave & Broad St,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
SLU-21,Mercer St & 9th Ave N,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
CBD-06,2nd Ave & Spring St,,,,,,,
CBD-05,1st Ave & Marion St,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
SLU-19,Key Arena / 1st Ave N & Harrison St,,,,,,,
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
SLU-18,Dexter Ave & Denny Way,,,,,,,
EL-01,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,,,,,,,
BT-05,2nd Ave & Blanchard St,,,,,,,
SLU-16,Pine St & 9th Ave,,,,,,,
PS-05,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,,,,,,,
SLU-02,Dexter Ave N & Aloha St,,,,,,,
SLU-15,Westlake Ave & 6th Ave,,,,,,,
DPD-01,9th Ave N & Mercer St,,,,,,,
EL-03,E Blaine St & Fairview Ave E,,,,,,,
BT-01,3rd Ave & Broad St,,,,,,,
SLU-20,Terry Ave & Stewart St,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
SLU-02,Dexter Ave N & Aloha St,,,,,,,
UD-01,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,,,,,,,
SLU-19,Key Arena / 1st Ave N & Harrison St,,,,,,,
CH-08,Cal Anderson Park / 11th Ave & Pine St,,,,,,,
BT-03,2nd Ave & Vine St,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
CH-07,E Pine St & 16th Ave,,,,,,,
CH-09,Harvard Ave & E Pine St,,,,,,,
CBD-05,1st Ave & Marion St,,,,,,,
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
CD-01,12th Ave & E Yesler Way,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
BT-05,2nd Ave & Blanchard St,,,,,,,
CH-02,E Harrison St & Broadway Ave E,,,,,,,
CBD-05,1st Ave & Marion St,,,,,,,
CBD-03,7th Ave & Union St,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
SLU-04,Republican St & Westlake Ave N,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
EL-05,Eastlake Ave E & E Allison St,,,,,,,
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,,,,,,,
SLU-07,PATH / 9th Ave & Westlake Ave,,,,,,,
SLU-04,Republican St & Westlake Ave N,,,,,,,
SLU-15,Westlake Ave & 6th Ave,,,,,,,
CH-08,Cal Anderson Park / 11th Ave & Pine St,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
SLU-02,Dexter Ave N & Aloha St,,,,,,,
CBD-04,Union St & 4th Ave,,,,,,,
SLU-20,Terry Ave & Stewart St,,,,,,,
WF-04,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,,,,,,,
CH-12,Bellevue Ave & E Pine St,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
SLU-15,Westlake Ave & 6th Ave,,,,,,,
UW-06,UW Engineering Library / E Stevens Way NE & Jefferson Rd,,,,,,,
UD-01,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,,,,,,,
SLU-01,REI / Yale Ave N & John St,,,,,,,
SLU-19,Key Arena / 1st Ave N & Harrison St,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
SLU-19,Key Arena / 1st Ave N & Harrison St,,,,,,,
CH-01,Summit Ave & E Denny Way,,,,,,,
BT-04,6th Ave & Blanchard St,,,,,,,
SLU-04,Republican St & Westlake Ave N,,,,,,,
SLU-20,Terry Ave & Stewart St,,,,,,,
SLU-04,Republican St & Westlake Ave N,,,,,,,
CBD-06,2nd Ave & Spring St,,,,,,,
WF-01,Pier 69 / Alaskan Way & Clay St,,,,,,,
CH-01,Summit Ave & E Denny Way,,,,,,,
SLU-02,Dexter Ave N & Aloha St,,,,,,,
SLU-02,Dexter Ave N & Aloha St,,,,,,,
CBD-03,7th Ave & Union St,,,,,,,
CBD-13,2nd Ave & Pine St,,,,,,,
SLU-18,Dexter Ave & Denny Way,,,,,,,
CBD-06,2nd Ave & Spring St,,,,,,,
SLU-02,Dexter Ave N & Aloha St,,,,,,,
CH-12,Bellevue Ave & E Pine St,,,,,,,
EL-05,Eastlake Ave E & E Allison St,,,,,,,
BT-01,3rd Ave & Broad St,,,,,,,
SLU-19,Key Arena / 1st Ave N & Harrison St,,,,,,,
DPD-01,9th Ave N & Mercer St,,,,,,,
BT-03,2nd Ave & Vine St,,,,,,,
UD-07,NE 47th St & 12th Ave NE,,,,,,,
EL-05,Eastlake Ave E & E Allison St,,,,,,,
PS-04,Occidental Park / Occidental Ave S & S Washington St,,,,,,,
SLU-19,Key Arena / 1st Ave N & Harrison St,,,,,,,
SLU-02,Dexter Ave N & Aloha St,,,,,,,
EL-05,Eastlake Ave E & E Allison St,,,,,,,
CBD-07,City Hall / 4th Ave & James St,,,,,,,
CH-06,12th Ave & E Denny Way,,,,,,,
PS-04,Occidental Park / Occidental Ave S & S Washington St,,,,,,,
SLU-18,Dexter Ave & Denny Way,,,,,,,
SLU-18,Dexter Ave & Denny Way,,,,,,,
