birthyear,(All),,,,,
,,,,,,
,Column Labels,,,,,
,Female,,Male,,Total Total trip time,Total Average trip time
Row Labels,Total trip time,Average trip time,Total trip time,Average trip time,,
20-Sep,"1,551",517,"2,601",433,"4,152",461
21-Sep,"1,143",571,"7,708",593,"8,850",590
22-Sep,"2,284",571,"9,762",610,"12,046",602
23-Sep,"2,936",587,"8,362",523,"11,298",538
24-Sep,"3,990",665,"10,775",513,"14,765",547
25-Sep,"2,016","1,008","4,392",439,"6,408",534
26-Sep,619,309,"2,827",404,"3,446",383
27-Sep,512,256,"2,413",603,"2,924",487
28-Sep,"2,620",873,"5,876",534,"8,495",607
29-Sep,"4,277",713,"7,112",474,"11,390",542
30-Sep,"2,592",518,"5,029",503,"7,621",508
1-Oct,381,381,"2,876",411,"3,257",407
2-Oct,"3,226",538,"3,839",427,"7,065",471
3-Oct,891,446,608,203,"1,499",300
4-Oct,436,436,"3,366",374,"3,802",380
5-Oct,"1,294",647,"7,322",523,"8,616",538
6-Oct,"2,001",667,"4,743",395,"6,744",450
7-Oct,"2,691",538,"5,028",419,"7,719",454
8-Oct,644,644,"7,329",458,"7,973",469
9-Oct,"4,844",692,"5,886",490,"10,730",565
10-Oct,"2,401",400,"1,561",312,"3,963",360
11-Oct,"1,028",343,"1,795",359,"2,823",353
12-Oct,"2,030",677,"11,987",571,"14,017",584
CH-08,"109,761",597,"382,119",498,"491,881",517
1-Aug,"4,398",733,"1,156",289,"5,554",555
2-Aug,"2,039",680,"2,385",298,"4,424",402
3-Aug,791,395,"6,883",459,"7,674",451
4-Aug,"1,437",479,"8,904",469,"10,342",470
5-Aug,"2,988",598,"5,274",377,"8,261",435
6-Aug,"1,930",643,"6,462",462,"8,392",494
7-Aug,"1,089",545,"6,122",557,"7,211",555
8-Aug,328,328,"1,712",285,"2,040",291
9-Aug,432,432,"2,128",426,"2,560",427
10-Aug,618,618,"6,443",586,"7,061",588
11-Aug,668,334,"9,780",543,"10,448",522
12-Aug,"2,330",583,"4,776",434,"7,107",474
13-Aug,829,415,"8,211",483,"9,041",476
14-Aug,"1,437",359,"4,442",494,"5,879",452
15-Aug,"1,960",490,"3,202",356,"5,162",397
16-Aug,"1,097","1,097","2,670",445,"3,766",538
17-Aug,523,523,"7,153",596,"7,677",591
18-Aug,"2,551",638,"11,690",557,"14,241",570
19-Aug,"2,119",530,"9,155",482,"11,274",490
20-Aug,"1,588",794,"6,145",512,"7,733",552
21-Aug,803,401,"4,891",489,"5,694",474
22-Aug,641,641,"3,053",382,"3,694",410
23-Aug,"2,450",613,"5,111",639,"7,561",630
24-Aug,930,465,"10,334",574,"11,264",563
25-Aug,"2,760",920,"8,974",528,"11,734",587
26-Aug,"1,532",511,"5,640",470,"7,171",478
27-Aug,"2,322",464,"4,467",406,"6,788",424
28-Aug,896,448,"8,305","1,038","9,200",920
29-Aug,"2,315",772,523,262,"2,839",568
30-Aug,626,626,"1,907",636,"2,533",633
31-Aug,"1,901",634,"6,404",712,"8,305",692
1-Sep,923,461,"3,345",558,"4,268",534
2-Sep,"1,879",626,"4,976",415,"6,855",457
3-Sep,"1,167",583,"6,012",501,"7,179",513
4-Sep,"1,642",410,"6,048",504,"7,690",481
5-Sep,641,641,"3,073",615,"3,715",619
6-Sep,"1,109","1,109","3,642",455,"4,750",528
7-Sep,929,464,"2,746",687,"3,675",613
8-Sep,"1,529",382,"4,484",498,"6,013",463
9-Sep,"1,201",400,"8,047",619,"9,248",578
10-Sep,778,389,"6,159",513,"6,937",495
11-Sep,"2,278",759,"5,734",521,"8,012",572
12-Sep,"1,285",642,"2,849",712,"4,134",689
13-Sep,"1,079","1,079","2,413",402,"3,491",499
14-Sep,"1,547",773,"5,390",449,"6,937",496
15-Sep,449,449,"9,499",500,"9,949",497
16-Sep,"3,422",489,"3,760",289,"7,182",359
17-Sep,675,337,"5,346",411,"6,020",401
18-Sep,"1,212",606,"4,361",335,"5,573",372
19-Sep,565,565,"4,343",620,"4,909",614
20-Sep,"2,079",693,"2,852",475,"4,931",548
21-Sep,"1,685",562,"6,498",433,"8,182",455
22-Sep,"1,416",708,"7,928",495,"9,344",519
23-Sep,514,514,"5,342",445,"5,856",450
24-Sep,"1,659",553,"3,623",453,"5,282",480
25-Sep,"4,741","1,580","4,020",503,"8,762",797
26-Sep,"1,680",560,"3,920",560,"5,600",560
27-Sep,"1,841",614,897,299,"2,738",456
28-Sep,528,528,"4,549",569,"5,077",564
29-Sep,"1,764",588,"6,497",500,"8,261",516
30-Sep,958,479,"5,638",470,"6,596",471
1-Oct,"1,308",436,"2,836",405,"4,144",414
2-Oct,"1,099",550,"5,526",553,"6,625",552
3-Oct,"1,497",748,"1,166",194,"2,662",333
4-Oct,"3,008",752,"5,000",833,"8,008",801
5-Oct,"3,050",610,"8,668",510,"11,718",533
6-Oct,545,545,"7,214",515,"7,759",517
7-Oct,"2,728",682,"5,058",389,"7,785",458
8-Oct,"1,104",552,"5,356",357,"6,461",380
9-Oct,"1,928",964,"13,943","1,162","15,871","1,134"
10-Oct,,,"1,605",268,"1,605",268
11-Oct,"1,516",758,"1,439",360,"2,955",493
12-Oct,478,478,"6,014",501,"6,491",499
CH-09,"62,695",603,"172,286",480,"234,980",508
1-Aug,262,262,"1,034",517,"1,296",432
2-Aug,,,"2,134",533,"2,134",533
3-Aug,726,363,"4,950",707,"5,676",631
4-Aug,,,670,335,670,335
5-Aug,"1,033",516,"3,560",509,"4,593",510
6-Aug,"1,709",427,"2,256",376,"3,965",396
7-Aug,600,300,"2,373",593,"2,973",496
8-Aug,,,"1,320",440,"1,320",440
9-Aug,"1,567",783,"1,946",486,"3,513",585
10-Aug,,,"1,886",629,"1,886",629
11-Aug,"1,221",407,603,603,"1,824",456
12-Aug,,,"1,368",342,"1,368",342
13-Aug,"1,363",454,"1,844",307,"3,207",356
14-Aug,266,266,"1,378",345,"1,644",329
15-Aug,463,463,"2,935",587,"3,398",566
16-Aug,428,428,"1,939",485,"2,367",473
17-Aug,815,815,"5,896",590,"6,710",610
18-Aug,"1,040",520,"2,402",480,"3,442",492
19-Aug,545,545,"5,134",570,"5,679",568
20-Aug,"1,635",545,"2,083",347,"3,718",413
21-Aug,856,428,"2,611",373,"3,467",385
22-Aug,499,499,"2,387",398,"2,886",412
23-Aug,,,816,272,816,272
24-Aug,,,"3,920",784,"3,920",784
25-Aug,735,735,"2,912",582,"3,647",608
26-Aug,773,386,"2,804",401,"3,577",397
27-Aug,"1,768",589,"2,210",368,"3,978",442
28-Aug,"1,454",727,"1,905",318,"3,359",420
29-Aug,,,"1,829",610,"1,829",610
30-Aug,,,711,355,711,355
31-Aug,"1,477",492,"2,966",424,"4,443",444
1-Sep,"1,796",599,"2,050",342,"3,846",427
2-Sep,"1,327",664,"4,149",415,"5,477",456
3-Sep,612,612,"3,389",339,"4,002",364
4-Sep,630,630,"1,527",382,"2,157",431
5-Sep,"7,596","7,596","12,511","1,043","20,107","1,547"
6-Sep,,,"1,188",297,"1,188",297
7-Sep,,,"4,042",577,"4,042",577
8-Sep,588,294,"1,550",387,"2,137",356
9-Sep,"1,536",512,"2,219",555,"3,755",536
10-Sep,"1,903",634,"3,271",467,"5,175",517
11-Sep,535,535,"1,146",573,"1,681",560
12-Sep,,,"4,946",824,"4,946",824
13-Sep,,,531,266,531,266
14-Sep,380,380,"1,494",498,"1,873",468
15-Sep,,,765,383,765,383
16-Sep,"1,029",515,"1,951",390,"2,980",426
17-Sep,"2,386",795,"3,253",361,"5,640",470
18-Sep,388,388,912,304,"1,300",325
19-Sep,604,302,"1,721",430,"2,325",388
20-Sep,,,"1,281",320,"1,281",320
21-Sep,,,"3,134",627,"3,134",627
22-Sep,"1,402",701,838,279,"2,240",448
23-Sep,543,271,"2,068",414,"2,611",373
24-Sep,963,482,"1,302",326,"2,266",378
25-Sep,"1,071",536,"2,868",359,"3,940",394
26-Sep,,,"1,610",805,"1,610",805
27-Sep,,,"2,219",555,"2,219",555
28-Sep,"2,659",665,"3,249",542,"5,908",591
29-Sep,"2,527",632,"2,616",374,"5,144",468
30-Sep,280,280,"2,529",506,"2,808",468
1-Oct,"1,330",665,"2,598",371,"3,928",436
2-Oct,"1,213",607,"2,513",503,"3,726",532
3-Oct,,,"4,338",723,"4,338",723
4-Oct,"1,551",776,"1,730",346,"3,281",469
5-Oct,"1,693",564,919,460,"2,613",523
6-Oct,"1,277",639,"1,820",607,"3,097",619
7-Oct,635,635,330,165,966,322
8-Oct,"1,595",532,"1,792",299,"3,387",376
9-Oct,,,"2,152",538,"2,152",538
10-Oct,130,130,205,205,335,167
11-Oct,,,"2,220",740,"2,220",740
12-Oct,"1,278",639,"2,557",511,"3,835",548
CH-12,"64,907",545,"257,434",507,"322,341",514
1-Aug,"1,182",394,"3,130",447,"4,312",431
2-Aug,"1,487",496,"1,007",336,"2,494",416
3-Aug,,,"8,458",846,"8,458",846
4-Aug,381,381,"5,484",548,"5,864",533
5-Aug,"1,298",433,"6,063",505,"7,361",491
6-Aug,529,265,"4,396",488,"4,925",448
7-Aug,"2,585",646,"6,203",414,"8,788",463
8-Aug,865,865,"3,584",512,"4,449",556
9-Aug,"2,290","2,290","1,070",357,"3,360",840
10-Aug,"1,787",894,"5,571",796,"7,358",818
11-Aug,571,285,"3,670",459,"4,241",424
12-Aug,,,"4,501",500,"4,501",500
13-Aug,366,366,"3,276",410,"3,642",405
14-Aug,,,"3,357",480,"3,357",480
15-Aug,"1,344",448,"2,832",708,"4,176",597
16-Aug,,,"1,702",425,"1,702",425
17-Aug,,,"5,583",558,"5,583",558
18-Aug,"1,811",905,"4,924",703,"6,735",748
19-Aug,,,"5,365",488,"5,365",488
20-Aug,496,496,"4,683",520,"5,179",518
21-Aug,547,547,"6,421",642,"6,969",634
22-Aug,"1,142","1,142","1,199",300,"2,341",468
23-Aug,"3,385",564,"3,511",502,"6,896",530
24-Aug,"2,137",712,"4,239",606,"6,376",638
25-Aug,"1,141",380,"4,272",427,"5,413",416
26-Aug,439,439,"4,178",464,"4,618",462
27-Aug,"1,721",574,"2,753",306,"4,474",373
28-Aug,"1,580",527,"3,597",450,"5,178",471
29-Aug,,,"1,123",225,"1,123",225
30-Aug,86,86,"2,066",517,"2,153",431
31-Aug,924,462,"2,813",352,"3,737",374
1-Sep,"1,651",550,"2,436",348,"4,087",409
2-Sep,397,397,"4,314",539,"4,711",523
3-Sep,591,295,"2,840",355,"3,430",343
4-Sep,,,"2,923",487,"2,923",487
5-Sep,,,969,323,969,323
6-Sep,"5,122","5,122",770,257,"5,892","1,473"
7-Sep,"1,067","1,067","3,173",793,"4,240",848
8-Sep,815,407,"1,692",423,"2,506",418
9-Sep,461,461,"5,893",655,"6,354",635
10-Sep,678,339,"3,077",440,"3,755",417
11-Sep,338,338,"13,662","1,051","14,000","1,000"
12-Sep,260,260,"2,221",444,"2,481",414
13-Sep,550,550,,,550,550
14-Sep,269,269,"5,341",534,"5,610",510
15-Sep,"1,336",668,"2,097",419,"3,432",490
16-Sep,667,333,"4,569",508,"5,235",476
17-Sep,588,294,"1,901",380,"2,489",356
18-Sep,"1,013",506,"3,328",370,"4,340",395
19-Sep,473,473,"1,596",798,"2,069",690
20-Sep,"1,165",582,123,123,"1,287",429
21-Sep,220,220,"6,233",623,"6,453",587
22-Sep,771,385,"2,750",458,"3,520",440
23-Sep,"1,450",483,"5,731",521,"7,181",513
24-Sep,"1,541",514,"3,107",444,"4,648",465
25-Sep,"1,067",533,"4,448",635,"5,515",613
26-Sep,797,266,"1,611",537,"2,408",401
27-Sep,724,362,270,270,994,331
28-Sep,210,210,"4,791",532,"5,001",500
29-Sep,"1,244",415,"4,080",453,"5,324",444
30-Sep,635,635,"2,473",412,"3,107",444
1-Oct,498,498,"3,247",464,"3,745",468
2-Oct,"2,638",660,"4,498",500,"7,136",549
3-Oct,"1,326",663,"5,530",691,"6,856",686
4-Oct,682,341,592,592,"1,274",425
5-Oct,230,230,"5,834",530,"6,064",505
6-Oct,,,"3,962",396,"3,962",396
7-Oct,,,"3,034",433,"3,034",433
8-Oct,"1,782",594,"2,611",435,"4,393",488
9-Oct,580,580,"2,929",366,"3,509",390
10-Oct,662,331,"1,341",670,"2,003",501
11-Oct,314,314,984,328,"1,298",325
12-Oct,,,"3,428",428,"3,428",428
CH-15,"120,646",575,"234,609",509,"355,255",529
1-Aug,302,302,913,457,"1,215",405
2-Aug,799,799,"1,015",338,"1,813",453
3-Aug,"1,464",732,"7,797",780,"9,262",772
4-Aug,,,"3,015",377,"3,015",377
5-Aug,"1,296",648,"5,131",570,"6,427",584
6-Aug,"3,152",630,"1,802",360,"4,954",495
7-Aug,697,349,"2,681",447,"3,379",422
8-Aug,388,388,"3,140",785,"3,528",706
9-Aug,293,293,"2,765",922,"3,058",764
10-Aug,"2,360",590,"2,661",532,"5,021",558
11-Aug,"2,012",503,"5,479",498,"7,491",499
12-Aug,"1,805",301,"2,648",441,"4,453",371
13-Aug,"2,909",727,"3,359",480,"6,267",570
14-Aug,"1,017","1,017","2,760",552,"3,777",629
15-Aug,"1,671",418,806,403,"2,477",413
16-Aug,268,268,876,438,"1,144",381
17-Aug,"1,335",445,"6,969",581,"8,305",554
18-Aug,"1,787",596,"3,825",638,"5,612",624
19-Aug,"4,182",597,"3,263",466,"7,444",532
20-Aug,"1,983",496,"3,340",557,"5,324",532
21-Aug,775,775,"3,675",408,"4,450",445
22-Aug,826,413,"1,440",360,"2,266",378
23-Aug,,,"2,756",394,"2,756",394
24-Aug,"1,529",382,"4,517",645,"6,046",550
25-Aug,"2,205",735,"4,166",595,"6,371",637
26-Aug,"1,547",516,"5,436",604,"6,982",582
27-Aug,"2,927",732,"1,732",577,"4,659",666
28-Aug,503,252,"2,151",538,"2,655",442
29-Aug,"1,010",505,836,418,"1,847",462
30-Aug,"1,235",412,378,189,"1,614",323
31-Aug,"2,169",542,"2,070",517,"4,238",530
1-Sep,"2,084",521,"3,569",595,"5,653",565
2-Sep,"1,770",590,"2,505",501,"4,275",534
3-Sep,"2,577",644,"5,088",509,"7,665",548
4-Sep,"1,628",543,"2,066",516,"3,694",528
5-Sep,"1,366",683,"2,222",444,"3,588",513
6-Sep,211,211,"1,125",375,"1,337",334
7-Sep,,,368,368,368,368
8-Sep,"1,415",708,"4,363",545,"5,778",578
9-Sep,"2,659",665,"4,623",514,"7,281",560
10-Sep,,,"4,067",581,"4,067",581
11-Sep,931,931,"4,078",453,"5,009",501
12-Sep,"10,277","2,055","1,913",383,"12,190","1,219"
13-Sep,"1,940",485,"1,131",283,"3,071",384
14-Sep,"1,599",533,"3,740",416,"5,340",445
15-Sep,"2,595",519,"6,363",578,"8,959",560
16-Sep,"2,525",631,"4,286",476,"6,811",524
17-Sep,"2,285",571,"4,163",694,"6,449",645
18-Sep,"3,135",784,"6,034",862,"9,169",834
19-Sep,"1,588",794,294,294,"1,881",627
20-Sep,493,246,"1,018",255,"1,511",252
21-Sep,"1,495",498,"4,186",465,"5,681",473
22-Sep,"3,377",482,"5,645",513,"9,022",501
23-Sep,"3,066",511,"4,308",538,"7,374",527
24-Sep,"1,899",380,"4,374",486,"6,273",448
25-Sep,"1,922",480,"2,760",460,"4,682",468
26-Sep,"1,832",611,"1,907",477,"3,739",534
27-Sep,,,276,276,276,276
28-Sep,"2,067",517,"3,608",515,"5,675",516
29-Sep,"1,410",353,"5,512",551,"6,922",494
30-Sep,"1,194",597,"4,427",492,"5,622",511
1-Oct,"3,547",591,"6,839",526,"10,386",547
2-Oct,"1,089",544,"4,471",497,"5,560",505
3-Oct,"1,416",708,"1,168",584,"2,584",646
4-Oct,949,475,502,251,"1,452",363
5-Oct,572,286,"3,933",492,"4,505",450
6-Oct,"1,796",898,"4,785",478,"6,581",548
7-Oct,"1,914",638,"2,245",449,"4,159",520
8-Oct,779,779,"5,845",531,"6,624",552
9-Oct,826,275,"5,024",457,"5,850",418
10-Oct,"1,368",684,"1,197",299,"2,565",427
11-Oct,"1,358",453,"1,244",622,"2,602",520
12-Oct,"1,245",415,"3,932",393,"5,177",398
DPD-01,"20,015","1,001","203,154",533,"223,168",557
2-Aug,,,609,609,609,609
3-Aug,,,"3,348",419,"3,348",419
4-Aug,,,"3,546",507,"3,546",507
5-Aug,,,"3,696",370,"3,696",370
6-Aug,,,"3,328",475,"3,328",475
7-Aug,,,"5,090",848,"5,090",848
8-Aug,,,249,249,249,249
9-Aug,,,"1,022",341,"1,022",341
10-Aug,349,349,"5,443",419,"5,792",414
11-Aug,,,"4,072",452,"4,072",452
12-Aug,,,"2,956",370,"2,956",370
13-Aug,362,362,"4,200",420,"4,562",415
14-Aug,,,"1,071",268,"1,071",268
15-Aug,,,771,771,771,771
16-Aug,,,"1,664",832,"1,664",832
17-Aug,776,776,"3,163",633,"3,939",656
18-Aug,,,"3,934",437,"3,934",437
19-Aug,259,259,"4,531",453,"4,791",436
20-Aug,"1,033","1,033","3,977",398,"5,010",455
21-Aug,"1,421","1,421","3,416",569,"4,838",691
22-Aug,,,"2,113",528,"2,113",528
23-Aug,,,"1,665",833,"1,665",833
24-Aug,,,"3,315",368,"3,315",368
25-Aug,,,"1,859",310,"1,859",310
26-Aug,,,"2,949",246,"2,949",246
27-Aug,524,524,"27,149","5,430","27,673","4,612"
28-Aug,549,549,535,268,"1,084",361
29-Aug,,,551,551,551,551
30-Aug,,,268,268,268,268
31-Aug,,,"3,487",387,"3,487",387
1-Sep,,,"2,021",404,"2,021",404
2-Sep,,,"2,407",401,"2,407",401
3-Sep,679,679,"4,798",436,"5,476",456
4-Sep,,,"2,585",369,"2,585",369
7-Sep,,,"2,272","2,272","2,272","2,272"
8-Sep,,,"3,351",419,"3,351",419
9-Sep,665,665,"5,617",624,"6,282",628
10-Sep,,,"4,533",648,"4,533",648
11-Sep,,,"3,051",436,"3,051",436
14-Sep,,,"4,470",497,"4,470",497
15-Sep,,,"3,282",410,"3,282",410
16-Sep,,,"1,649",412,"1,649",412
17-Sep,425,425,"3,505",501,"3,930",491
18-Sep,,,"1,208",403,"1,208",403
21-Sep,,,"4,662",518,"4,662",518
22-Sep,"8,474","4,237","3,266",467,"11,740","1,304"
23-Sep,256,256,"4,709",471,"4,965",451
24-Sep,,,"2,871",574,"2,871",574
25-Sep,"1,764",882,"2,595",519,"4,359",623
26-Sep,,,"2,117","2,117","2,117","2,117"
27-Sep,,,242,242,242,242
28-Sep,,,"3,128",447,"3,128",447
29-Sep,,,"3,134",522,"3,134",522
30-Sep,,,"2,292",382,"2,292",382
1-Oct,,,"2,621",437,"2,621",437
2-Oct,430,430,"2,878",480,"3,308",473
3-Oct,,,429,429,429,429
4-Oct,891,891,"1,495",748,"2,387",796
5-Oct,"1,157",578,"3,791",632,"4,947",618
6-Oct,,,"2,759",460,"2,759",460
7-Oct,,,"4,035",504,"4,035",504
8-Oct,,,"3,392",485,"3,392",485
9-Oct,,,"2,232",446,"2,232",446
12-Oct,,,"1,780",445,"1,780",445
DPD-03,"40,432","1,304","31,790",993,"72,222","1,146"
6-Aug,,,"1,017","1,017","1,017","1,017"
7-Aug,"1,767","1,767",,,"1,767","1,767"
8-Aug,,,629,629,629,629
9-Aug,,,"3,390","1,695","3,390","1,695"
11-Aug,"1,613","1,613",846,846,"2,459","1,230"
12-Aug,"4,089","4,089",,,"4,089","4,089"
13-Aug,,,800,800,800,800
15-Aug,,,775,775,775,775
18-Aug,,,"2,097","1,048","2,097","1,048"
19-Aug,"1,935","1,935","1,133",566,"3,068","1,023"
21-Aug,"1,305","1,305",,,"1,305","1,305"
23-Aug,"5,260","5,260",,,"5,260","5,260"
25-Aug,"5,710","5,710","1,376","1,376","7,087","3,543"
28-Aug,,,"1,073","1,073","1,073","1,073"
31-Aug,,,"1,060","1,060","1,060","1,060"
2-Sep,,,"1,558","1,558","1,558","1,558"
4-Sep,"1,877",938,,,"1,877",938
5-Sep,,,474,474,474,474
7-Sep,,,"1,045","1,045","1,045","1,045"
8-Sep,"2,751","1,375",,,"2,751","1,375"
9-Sep,390,390,"1,028","1,028","1,419",709
10-Sep,,,695,695,695,695
13-Sep,476,238,"1,415","1,415","1,892",631
14-Sep,"1,215",608,"1,367","1,367","2,582",861
15-Sep,"1,849",925,,,"1,849",925
16-Sep,520,520,,,520,520
18-Sep,,,494,494,494,494
21-Sep,410,410,"1,677","1,677","2,087","1,044"
22-Sep,"1,280",640,,,"1,280",640
23-Sep,476,476,"1,017","1,017","1,493",746
25-Sep,451,451,,,451,451
27-Sep,,,"1,701","1,701","1,701","1,701"
28-Sep,581,581,970,970,"1,551",775
29-Sep,507,507,,,507,507
1-Oct,,,"1,012",506,"1,012",506
3-Oct,,,"1,188","1,188","1,188","1,188"
5-Oct,541,541,,,541,541
6-Oct,543,543,,,543,543
7-Oct,543,543,,,543,543
8-Oct,,,736,736,736,736
9-Oct,,,407,407,407,407
10-Oct,"3,725","3,725",,,"3,725","3,725"
12-Oct,619,619,809,809,"1,428",714
EL-01,"67,659",769,"46,650",562,"114,309",668
2-Aug,,,227,227,227,227
3-Aug,"1,954",977,"2,658",886,"4,612",922
4-Aug,"2,168",542,377,377,"2,545",509
5-Aug,"1,157",578,,,"1,157",578
6-Aug,"2,634",527,"2,673",891,"5,307",663
7-Aug,"1,664",832,,,"1,664",832
9-Aug,263,263,,,263,263
10-Aug,"4,353",871,,,"4,353",871
11-Aug,96,96,"3,584",717,"3,681",613
12-Aug,"2,620",873,,,"2,620",873
13-Aug,"1,072","1,072",630,315,"1,702",567
15-Aug,663,663,749,749,"1,412",706
16-Aug,"1,432",716,"1,968",656,"3,400",680
18-Aug,,,"1,512",504,"1,512",504
19-Aug,"2,024",675,,,"2,024",675
20-Aug,897,897,754,251,"1,650",413
21-Aug,"1,064","1,064",429,429,"1,493",746
22-Aug,,,575,575,575,575
24-Aug,"1,704",852,543,272,"2,247",562
25-Aug,"2,394",798,,,"2,394",798
26-Aug,"3,293",823,"1,496",299,"4,789",532
27-Aug,810,810,"1,533",766,"2,343",781
28-Aug,583,583,303,152,886,295
29-Aug,,,448,448,448,448
31-Aug,"1,756",878,867,433,"2,623",656
1-Sep,633,633,,,633,633
2-Sep,"1,809",905,,,"1,809",905
3-Sep,936,936,,,936,936
4-Sep,674,674,645,645,"1,319",659
5-Sep,,,766,766,766,766
8-Sep,"1,536",768,"1,509",754,"3,045",761
9-Sep,"5,068","1,267",,,"5,068","1,267"
10-Sep,"2,409",803,"1,377",688,"3,786",757
11-Sep,"1,027",342,806,806,"1,833",458
14-Sep,"1,016",508,408,408,"1,424",475
15-Sep,,,331,331,331,331
16-Sep,,,"1,217",609,"1,217",609
17-Sep,,,823,823,823,823
18-Sep,,,"1,779",889,"1,779",889
20-Sep,"1,256","1,256","1,197","1,197","2,453","1,227"
21-Sep,"1,493",747,325,325,"1,818",606
22-Sep,936,468,"2,016",672,"2,952",590
24-Sep,"2,002","1,001","1,662",554,"3,664",733
25-Sep,"1,349",674,"1,060",530,"2,408",602
28-Sep,"1,793",897,"1,031","1,031","2,824",941
29-Sep,"3,026",757,"1,551",388,"4,577",572
30-Sep,,,"2,092","1,046","2,092","1,046"
1-Oct,"1,552",776,643,321,"2,195",549
3-Oct,,,397,397,397,397
4-Oct,,,428,428,428,428
5-Oct,,,"2,042",681,"2,042",681
6-Oct,,,308,308,308,308
8-Oct,"1,741",870,529,264,"2,269",567
9-Oct,911,911,,,911,911
12-Oct,"1,891",946,383,383,"2,275",758
EL-03,"118,451",764,"132,627",691,"251,078",724
1-Aug,759,759,"1,742",871,"2,501",834
2-Aug,944,944,,,944,944
3-Aug,"2,002",667,"1,268",423,"3,271",545
4-Aug,"3,333",667,"1,500",500,"4,833",604
5-Aug,"1,438",479,"3,605",721,"5,043",630
6-Aug,"2,553",851,"4,964",621,"7,517",683
7-Aug,563,563,"4,159",832,"4,722",787
8-Aug,"1,266","1,266","1,211","1,211","2,477","1,238"
10-Aug,"3,573",715,"1,532",511,"5,105",638
11-Aug,"2,582",646,"2,588",518,"5,170",574
12-Aug,"3,273",818,"1,347",674,"4,620",770
13-Aug,"3,053",763,"1,756",351,"4,809",534
14-Aug,524,524,"2,267",567,"2,792",558
15-Aug,,,"1,336","1,336","1,336","1,336"
16-Aug,,,"2,881",960,"2,881",960
17-Aug,"2,305",768,"3,796",759,"6,101",763
18-Aug,"3,687",737,"1,743",436,"5,431",603
19-Aug,"2,341",780,389,389,"2,729",682
20-Aug,"1,796",898,"2,781",556,"4,578",654
21-Aug,"4,786",957,"2,334",467,"7,120",712
24-Aug,"3,872",774,"1,279",426,"5,151",644
25-Aug,"1,891",630,"1,907",636,"3,799",633
26-Aug,"2,382",794,"1,513",504,"3,895",649
27-Aug,"2,056",685,"1,757",439,"3,814",545
28-Aug,"1,431",477,"3,011",602,"4,442",555
29-Aug,"1,291",646,,,"1,291",646
31-Aug,"1,550",775,988,494,"2,538",635
1-Sep,"2,565",855,"1,896",632,"4,461",744
2-Sep,"3,139",785,"2,044",681,"5,183",740
3-Sep,"2,810",937,"1,870",623,"4,680",780
4-Sep,501,501,"1,402",701,"1,903",634
5-Sep,,,"1,221","1,221","1,221","1,221"
6-Sep,,,"1,282",641,"1,282",641
8-Sep,571,571,440,440,"1,011",506
9-Sep,"1,533",767,"2,329",776,"3,863",773
10-Sep,"2,039",680,"3,406",681,"5,445",681
11-Sep,465,465,"2,340",780,"2,805",701
14-Sep,"2,284",761,"2,127",709,"4,411",735
15-Sep,"1,618",809,"3,270",817,"4,888",815
16-Sep,"1,357",679,"1,290",645,"2,647",662
17-Sep,"1,647",823,"1,667",834,"3,314",828
18-Sep,"1,633",816,894,894,"2,527",842
20-Sep,,,"1,353",677,"1,353",677
21-Sep,"1,593",797,"3,545","1,182","5,138","1,028"
22-Sep,"2,319",773,941,471,"3,260",652
23-Sep,"2,197",732,"4,491","1,123","6,688",955
24-Sep,"2,590",863,"2,740",685,"5,330",761
25-Sep,"4,674",935,"2,078",693,"6,753",844
26-Sep,496,496,"2,061","1,031","2,557",852
28-Sep,"5,445","1,089","1,308",654,"6,753",965
29-Sep,"2,214",553,"1,229",614,"3,442",574
30-Sep,"4,619",924,"2,240",747,"6,859",857
1-Oct,"1,110","1,110","2,947",737,"4,056",811
2-Oct,"1,533",511,"6,164",770,"7,697",700
3-Oct,474,474,"1,274","1,274","1,748",874
4-Oct,,,"2,198","1,099","2,198","1,099"
5-Oct,581,581,"1,410",705,"1,991",664
6-Oct,"3,321",830,"3,455",864,"6,776",847
7-Oct,"1,626",813,"1,446",723,"3,073",768
8-Oct,"2,191",730,"2,972",594,"5,163",645
9-Oct,"2,248",749,"3,771","1,257","6,019","1,003"
10-Oct,,,"1,038","1,038","1,038","1,038"
11-Oct,,,751,751,751,751
12-Oct,"1,805",903,"2,078",520,"3,884",647
EL-05,"75,780","1,166","109,329","1,051","185,109","1,095"
2-Aug,"1,087","1,087",854,854,"1,942",971
3-Aug,551,551,"3,135","1,045","3,686",922
4-Aug,675,675,"1,285",643,"1,961",654
5-Aug,"1,202",601,"2,820",940,"4,022",804
6-Aug,"1,870",935,"3,963",991,"5,834",972
7-Aug,,,"2,523",631,"2,523",631
8-Aug,,,"1,240",620,"1,240",620
9-Aug,,,705,705,705,705
10-Aug,"1,221",611,"2,310",770,"3,531",706
11-Aug,"2,536",845,"1,668","1,668","4,204","1,051"
12-Aug,"1,228",614,891,891,"2,119",706
13-Aug,680,680,"1,610","1,610","2,290","1,145"
14-Aug,,,662,662,662,662
15-Aug,,,"1,259",629,"1,259",629
17-Aug,569,569,374,374,943,472
18-Aug,"1,725",575,,,"1,725",575
19-Aug,"2,627",876,436,436,"3,064",766
20-Aug,"3,129","1,043","1,077",539,"4,207",841
21-Aug,"1,800",900,"1,169",585,"2,970",742
