birthyear,(All),,,,,
,,,,,,
,Column Labels,,,,,
,Female,,Male,,Total Total trip time,Total Average trip time
Row Labels,Total trip time,Average trip time,Total trip time,Average trip time,,
4-Oct,,,"1,781",594,"1,781",594
5-Oct,,,"1,591",530,"1,591",530
6-Oct,"1,039","1,039",815,407,"1,853",618
7-Oct,"2,310",577,745,372,"3,055",509
8-Oct,"2,239","1,120","1,170",390,"3,409",682
9-Oct,"2,163",541,427,213,"2,590",432
10-Oct,,,564,564,564,564
11-Oct,,,799,399,799,399
12-Oct,255,255,,,255,255
CBD-03,"24,729",562,"110,389",533,"135,118",538
3-Aug,738,369,"2,004",501,"2,742",457
4-Aug,363,363,"2,532",633,"2,894",579
5-Aug,520,520,"3,945",657,"4,465",638
6-Aug,,,"3,083",771,"3,083",771
7-Aug,,,"1,029",515,"1,029",515
9-Aug,"1,348","1,348",586,586,"1,934",967
10-Aug,,,656,656,656,656
11-Aug,,,"1,723",574,"1,723",574
12-Aug,426,426,"1,613",538,"2,039",510
13-Aug,941,941,"2,199",550,"3,141",628
14-Aug,,,"1,378",689,"1,378",689
17-Aug,,,"1,413",706,"1,413",706
18-Aug,,,"1,879",470,"1,879",470
19-Aug,,,"1,355",677,"1,355",677
20-Aug,,,"1,101",551,"1,101",551
21-Aug,"2,352",784,"1,268",423,"3,620",603
22-Aug,,,606,606,606,606
23-Aug,,,327,327,327,327
24-Aug,687,344,"1,838",459,"2,525",421
25-Aug,"1,011",505,"3,965",566,"4,975",553
26-Aug,731,366,"2,534",634,"3,266",544
27-Aug,,,"3,813",635,"3,813",635
28-Aug,,,"3,052",436,"3,052",436
29-Aug,,,"2,194",731,"2,194",731
31-Aug,,,"3,536",505,"3,536",505
1-Sep,,,"1,024",512,"1,024",512
2-Sep,444,444,"1,010",505,"1,454",485
3-Sep,"1,148",574,"2,813",563,"3,961",566
4-Sep,"1,216","1,216","3,576",511,"4,792",599
5-Sep,681,681,"1,371",685,"2,051",684
6-Sep,,,371,186,371,186
7-Sep,,,532,532,532,532
8-Sep,,,"2,395",479,"2,395",479
9-Sep,"1,425",713,"2,578",516,"4,003",572
10-Sep,827,827,"1,837",612,"2,665",666
11-Sep,"1,251",625,"1,621",540,"2,872",574
13-Sep,,,"1,389",694,"1,389",694
14-Sep,405,405,"1,453",484,"1,858",464
15-Sep,441,441,"1,592",531,"2,033",508
16-Sep,"1,625",542,506,506,"2,130",533
17-Sep,414,414,"2,253",451,"2,667",445
18-Sep,913,456,811,405,"1,723",431
21-Sep,,,"2,005",401,"2,005",401
22-Sep,,,"2,786",557,"2,786",557
23-Sep,"1,790",895,"3,827",638,"5,617",702
24-Sep,,,"3,969",496,"3,969",496
25-Sep,,,"1,595",532,"1,595",532
27-Sep,,,432,432,432,432
28-Sep,761,380,"2,012",503,"2,773",462
29-Sep,299,299,"1,981",396,"2,281",380
30-Sep,665,332,"1,018",509,"1,683",421
1-Oct,712,356,"2,925",488,"3,637",455
2-Oct,,,647,324,647,324
4-Oct,,,370,370,370,370
5-Oct,,,"1,825",608,"1,825",608
6-Oct,,,"1,704",426,"1,704",426
8-Oct,,,"1,999",500,"1,999",500
9-Oct,,,"1,762",587,"1,762",587
10-Oct,,,629,629,629,629
11-Oct,,,"1,566",522,"1,566",522
12-Oct,596,596,576,576,"1,172",586
CBD-04,"41,619",612,"148,984",534,"190,602",549
3-Aug,723,723,"3,913",652,"4,636",662
4-Aug,"1,660",830,"4,664",583,"6,324",632
5-Aug,,,"1,425",356,"1,425",356
6-Aug,"2,241","1,120","4,429",633,"6,670",741
7-Aug,,,"1,714",429,"1,714",429
8-Aug,,,"1,703",851,"1,703",851
9-Aug,,,258,258,258,258
