starttime,from_station_name,sum,,=YEAR(A2),MONTH(A2),"=ROUNDUP(MONTH(A2)/3,0)",HOUR(A2)
10/13/2014 14:14,REI / Yale Ave N & John St,1548.516,,2014,10,4,14
10/13/2014 14:15,6th Ave S & S King St,2857.039,,2014,10,4,14
10/13/2014 14:16,Cal Anderson Park / 11th Ave & Pine St,2611.92,,2014,10,4,14
10/13/2014 14:16,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,3151.168,,2014,10,4,14
10/13/2014 14:17,12th Ave & E Mercer St,228.691,,2014,10,4,14
10/13/2014 14:18,12th Ave & NE Campus Pkwy,403.445,,2014,10,4,14
10/13/2014 14:18,7th Ave & Union St,970.064,,2014,10,4,14
10/13/2014 14:18,E Harrison St & Broadway Ave E,1727.659,,2014,10,4,14
10/13/2014 14:20,1st Ave & Marion St,813.073,,2014,10,4,14
10/13/2014 14:20,6th Ave & Blanchard St,632.044,,2014,10,4,14
10/13/2014 14:21,UW Engineering Library / E Stevens Way NE & Jefferson Rd,301.79,,2014,10,4,14
10/13/2014 14:23,Harvard Ave & E Pine St,328.193,,2014,10,4,14
10/13/2014 14:24,6th Ave S & S King St,2965.533,,2014,10,4,14
10/13/2014 14:24,Occidental Park / Occidental Ave S & S Washington St,2356.827,,2014,10,4,14
10/13/2014 14:25,Occidental Park / Occidental Ave S & S Washington St,1402.685,,2014,10,4,14
10/13/2014 14:26,E Harrison St & Broadway Ave E,245.043,,2014,10,4,14
10/13/2014 14:28,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,1279.565,,2014,10,4,14
10/13/2014 14:32,E Harrison St & Broadway Ave E,2848.549,,2014,10,4,14
10/13/2014 14:32,Westlake Ave & 6th Ave,466.267,,2014,10,4,14
10/13/2014 14:33,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,960.969,,2014,10,4,14
10/13/2014 14:33,Dexter Ave N & Aloha St,390.948,,2014,10,4,14
10/13/2014 14:47,NE 42nd St & University Way NE,516.741,,2014,10,4,14
10/13/2014 14:49,12th Ave & NE Campus Pkwy,671.897,,2014,10,4,14
10/13/2014 14:49,15th Ave NE & NE 40th St,706.313,,2014,10,4,14
10/13/2014 14:49,2nd Ave & Spring St,865.567,,2014,10,4,14
10/13/2014 14:50,2nd Ave & Spring St,729.484,,2014,10,4,14
10/13/2014 14:51,Occidental Park / Occidental Ave S & S Washington St,1084.156,,2014,10,4,14
10/13/2014 14:53,Lake Union Park / Valley St & Boren Ave N,999.063,,2014,10,4,14
10/13/2014 14:54,NE 42nd St & University Way NE,11144.159,,2014,10,4,14
10/13/2014 14:56,Occidental Park / Occidental Ave S & S Washington St,371.074,,2014,10,4,14
10/13/2014 14:57,15th Ave E & E Thomas St,1000.4,,2014,10,4,14
10/13/2014 14:58,City Hall / 4th Ave & James St,728.841,,2014,10,4,14
10/13/2014 15:01,Children's Hospital / Sandpoint Way NE & 40th Ave NE,897.557,,2014,10,4,15
10/13/2014 15:03,2nd Ave & Pine St,504.48,,2014,10,4,15
10/13/2014 15:03,Fred Hutchinson Cancer Research Center / Fairview Ave N & Ward St,486.016,,2014,10,4,15
10/13/2014 15:05,Eastlake Ave E & E Allison St,1078.028,,2014,10,4,15
10/13/2014 15:06,Eastlake Ave E & E Allison St,1052.859,,2014,10,4,15
10/13/2014 15:07,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,1063.334,,2014,10,4,15
10/13/2014 15:14,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,2337.228,,2014,10,4,15
10/13/2014 15:16,NE 42nd St & University Way NE,1820.789,,2014,10,4,15
10/13/2014 15:17,15th Ave E & E Thomas St,208.896,,2014,10,4,15
10/13/2014 15:18,Lake Union Park / Valley St & Boren Ave N,2094.997,,2014,10,4,15
10/13/2014 15:19,Seattle Aquarium / Alaskan Way S & Elliott Bay Trail,2261.1,,2014,10,4,15
10/13/2014 15:21,2nd Ave & Spring St,371.906,,2014,10,4,15
10/13/2014 15:21,Burke-Gilman Trail / NE Blakeley St & 24th Ave NE,6903.507,,2014,10,4,15
10/13/2014 15:24,E Pine St & 16th Ave,722.515,,2014,10,4,15
10/13/2014 15:25,1st Ave & Marion St,1491.997,,2014,10,4,15
10/13/2014 15:33,12th Ave & E Denny Way,910.379,,2014,10,4,15
10/13/2014 15:34,Republican St & Westlake Ave N,174.854,,2014,10,4,15
10/13/2014 15:36,6th Ave S & S King St,699.397,,2014,10,4,15
10/13/2014 15:37,UW Intramural Activities Building,1378.525,,2014,10,4,15
10/13/2014 15:39,3rd Ave & Broad St,1126.426,,2014,10,4,15
10/13/2014 15:42,King Street Station Plaza / 2nd Ave Extension S & S Jackson St,1049.097,,2014,10,4,15
10/13/2014 15:46,1st Ave & Marion St,1140.84,,2014,10,4,15
